t_s,omega_ref_rad_s,omega_meas_rad_s,omega_filt_rad_s,e0_int_error,e1_error,v_ff,v_fb,u_eff,pwm_cmd,delta_cnt,position_cnt
7.260,8.000000,7.949374,7.977067,1.303339,0.022933,0.541232,0.009168,0.550401,0.797680,50,17765
7.280,8.000000,7.949374,7.972913,1.303880,0.027087,0.541232,0.009420,0.550652,0.797794,50,17815
7.300,8.000000,7.949374,7.969382,1.304493,0.030618,0.541232,0.009635,0.550867,0.797890,50,17865
7.320,8.000000,8.108362,7.990229,1.304688,0.009771,0.541232,0.008389,0.549621,0.797330,51,17916
7.340,8.000000,7.949374,7.984101,1.305006,0.015899,0.541232,0.008758,0.549990,0.797495,50,17966
7.360,8.000000,7.949374,7.978892,1.305428,0.021108,0.541232,0.009072,0.550304,0.797637,50,18016
7.380,8.000000,7.949374,7.974464,1.305939,0.025536,0.541232,0.009340,0.550572,0.797757,50,18066
7.400,8.000000,7.949374,7.970701,1.306525,0.029299,0.541232,0.009568,0.550801,0.797860,50,18116
7.420,8.000000,7.949374,7.967503,1.307175,0.032497,0.541232,0.009763,0.550996,0.797948,50,18166
7.440,8.000000,8.108362,7.988632,1.307402,0.011368,0.541232,0.008501,0.549733,0.797380,51,18217
7.460,8.000000,7.949374,7.982743,1.307747,0.017257,0.541232,0.008855,0.550088,0.797539,50,18267
7.480,8.000000,7.949374,7.977737,1.308192,0.022263,0.541232,0.009157,0.550390,0.797675,50,18317
7.500,8.000000,7.949374,7.973483,1.308723,0.026517,0.541232,0.009415,0.550647,0.797791,50,18367
7.520,8.000000,7.949374,7.969867,1.309325,0.030133,0.541232,0.009635,0.550867,0.797890,50,18417
7.540,8.000000,8.108362,7.990641,1.309513,0.009359,0.541232,0.008393,0.549626,0.797332,51,18468
7.560,8.000000,7.949374,7.984451,1.309824,0.015549,0.541232,0.008765,0.549998,0.797499,50,18518
7.580,8.000000,7.949374,7.979190,1.310240,0.020810,0.541232,0.009083,0.550315,0.797642,50,18568
7.600,8.000000,7.949374,7.974717,1.310745,0.025283,0.541232,0.009353,0.550586,0.797764,50,18618
7.620,8.000000,7.949374,7.970916,1.311327,0.029084,0.541232,0.009584,0.550816,0.797867,50,18668
7.640,8.000000,8.108362,7.991533,1.311497,0.008467,0.541232,0.008352,0.549584,0.797313,51,18719
7.660,8.000000,7.949374,7.985209,1.311792,0.014791,0.541232,0.008732,0.549964,0.797484,50,18769
7.680,8.000000,7.949374,7.979835,1.312196,0.020165,0.541232,0.009056,0.550288,0.797630,50,18819
7.700,8.000000,7.949374,7.975266,1.312690,0.024734,0.541232,0.009332,0.550564,0.797754,50,18869
7.720,8.000000,7.949374,7.971382,1.313263,0.028618,0.541232,0.009568,0.550800,0.797860,50,18919
7.740,8.000000,8.108362,7.991929,1.313424,0.008071,0.541232,0.008340,0.549572,0.797307,51,18970
7.760,8.000000,7.949374,7.985546,1.313713,0.014454,0.541232,0.008723,0.549956,0.797480,50,19020
7.780,8.000000,7.949374,7.980121,1.314111,0.019879,0.541232,0.009050,0.550282,0.797627,50,19070
7.800,8.000000,7.949374,7.975509,1.314601,0.024491,0.541232,0.009329,0.550561,0.797753,50,19120
7.820,8.000000,7.949374,7.971588,1.315169,0.028412,0.541232,0.009567,0.550799,0.797860,50,19170
7.840,8.000000,8.108362,7.992105,1.315327,0.007895,0.541232,0.008341,0.549573,0.797308,51,19221
7.860,8.000000,7.949374,7.985695,1.315613,0.014305,0.541232,0.008726,0.549958,0.797481,50,19271
7.880,8.000000,7.949374,7.980247,1.316008,0.019753,0.541232,0.009054,0.550286,0.797629,50,19321
7.900,8.000000,7.949374,7.975616,1.316496,0.024384,0.541232,0.009334,0.550566,0.797755,50,19371
7.920,8.000000,7.949374,7.971680,1.317062,0.028320,0.541232,0.009573,0.550805,0.797862,50,19421
7.940,8.000000,8.108362,7.992182,1.317218,0.007818,0.541232,0.008347,0.549580,0.797311,51,19472
7.960,8.000000,7.949374,7.985761,1.317503,0.014239,0.541232,0.008733,0.549965,0.797484,50,19522
7.980,8.000000,7.949374,7.980303,1.317897,0.019697,0.541232,0.009062,0.550294,0.797632,50,19572
8.000,8.000000,7.949374,7.975663,1.318384,0.024337,0.541232,0.009342,0.550575,0.797759,50,19622
8.020,8.000000,7.949374,7.971720,1.318950,0.028280,0.541232,0.009582,0.550814,0.797866,50,19672
8.040,8.000000,8.108362,7.992216,1.319105,0.007784,0.541232,0.008356,0.549589,0.797315,51,19723
8.060,8.000000,7.949374,7.985790,1.319389,0.014210,0.541232,0.008743,0.549975,0.797489,50,19773
8.080,8.000000,7.949374,7.980328,1.319783,0.019672,0.541232,0.009072,0.550304,0.797637,50,19823
8.100,8.000000,7.949374,7.975684,1.320269,0.024316,0.541232,0.009352,0.550585,0.797763,50,19873
8.120,8.000000,8.108362,7.995586,1.320358,0.004414,0.541232,0.008162,0.549395,0.797228,51,19924
8.140,8.000000,7.949374,7.988654,1.320585,0.011346,0.541232,0.008578,0.549811,0.797415,50,19974
8.160,8.000000,7.949374,7.982762,1.320929,0.017238,0.541232,0.008933,0.550165,0.797574,50,20024
8.180,8.000000,7.949374,7.977754,1.321374,0.022246,0.541232,0.009235,0.550468,0.797710,50,20074
8.200,8.000000,7.949374,7.973496,1.321904,0.026504,0.541232,0.009493,0.550725,0.797826,50,20124
8.220,8.000000,7.949374,7.969878,1.322507,0.030122,0.541232,0.009713,0.550945,0.797925,50,20174
8.240,8.000000,7.949374,7.966803,1.323171,0.033197,0.541232,0.009901,0.551133,0.798010,50,20224
8.260,8.000000,8.108362,7.988037,1.323410,0.011963,0.541232,0.008632,0.549865,0.797439,51,20275
8.280,8.000000,7.949374,7.982237,1.323765,0.017763,0.541232,0.008981,0.550214,0.797596,50,20325
8.300,8.000000,7.949374,7.977307,1.324219,0.022693,0.541232,0.009279,0.550511,0.797730,50,20375
8.320,8.000000,7.949374,7.973117,1.324757,0.026883,0.541232,0.009533,0.550765,0.797844,50,20425
8.340,8.000000,7.949374,7.969556,1.325366,0.030444,0.541232,0.009749,0.550982,0.797942,50,20475
8.360,8.000000,8.108362,7.990377,1.325558,0.009623,0.541232,0.008505,0.549737,0.797382,51,20526
8.380,8.000000,7.949374,7.984226,1.325873,0.015774,0.541232,0.008875,0.550107,0.797548,50,20576
8.400,8.000000,7.949374,7.978998,1.326294,0.021002,0.541232,0.009190,0.550422,0.797690,50,20626
8.420,8.000000,7.949374,7.974555,1.326802,0.025445,0.541232,0.009459,0.550691,0.797811,50,20676
8.440,8.000000,7.949374,7.970778,1.327387,0.029222,0.541232,0.009688,0.550921,0.797914,50,20726
8.460,8.000000,8.108362,7.991416,1.327559,0.008584,0.541232,0.008455,0.549687,0.797359,51,20777
8.480,8.000000,7.949374,7.985109,1.327856,0.014891,0.541232,0.008834,0.550066,0.797530,50,20827
8.500,8.000000,7.949374,7.979749,1.328261,0.020251,0.541232,0.009157,0.550389,0.797675,50,20877
8.520,8.000000,7.949374,7.975192,1.328758,0.024808,0.541232,0.009433,0.550665,0.797799,50,20927
8.540,8.000000,8.108362,7.995168,1.328854,0.004832,0.541232,0.008238,0.549471,0.797262,51,20978
8.560,8.000000,7.949374,7.988298,1.329088,0.011702,0.541232,0.008651,0.549883,0.797447,50,21028
8.580,8.000000,7.949374,7.982460,1.329439,0.017540,0.541232,0.009002,0.550234,0.797605,50,21078
8.600,8.000000,7.949374,7.977497,1.329889,0.022503,0.541232,0.009301,0.550534,0.797740,50,21128
8.620,8.000000,7.949374,7.973279,1.330424,0.026721,0.541232,0.009557,0.550789,0.797855,50,21178
8.640,8.000000,8.108362,7.993542,1.330553,0.006458,0.541232,0.008346,0.549578,0.797310,51,21229
8.660,8.000000,7.949374,7.986917,1.330814,0.013083,0.541232,0.008744,0.549976,0.797489,50,21279
8.680,8.000000,7.949374,7.981285,1.331189,0.018715,0.541232,0.009083,0.550315,0.797642,50,21329
8.700,8.000000,7.949374,7.976499,1.331659,0.023501,0.541232,0.009372,0.550604,0.797772,50,21379
8.720,8.000000,7.949374,7.972430,1.332210,0.027570,0.541232,0.009618,0.550851,0.797883,50,21429
8.740,8.000000,7.949374,7.968972,1.332831,0.031028,0.541232,0.009829,0.551061,0.797978,50,21479
8.760,8.000000,8.108362,7.989881,1.333033,0.010119,0.541232,0.008580,0.549812,0.797415,51,21530
8.780,8.000000,7.949374,7.983805,1.333357,0.016195,0.541232,0.008945,0.550177,0.797580,50,21580
8.800,8.000000,7.949374,7.978641,1.333784,0.021359,0.541232,0.009256,0.550489,0.797720,50,21630
8.820,8.000000,7.949374,7.974251,1.334299,0.025749,0.541232,0.009522,0.550754,0.797839,50,21680
8.840,8.000000,7.949374,7.970519,1.334889,0.029481,0.541232,0.009749,0.550981,0.797942,50,21730
8.860,8.000000,8.108362,7.991196,1.335065,0.008804,0.541232,0.008513,0.549745,0.797385,51,21781
8.880,8.000000,7.949374,7.984922,1.335367,0.015078,0.541232,0.008890,0.550122,0.797555,50,21831
8.900,8.000000,7.949374,7.979590,1.335775,0.020410,0.541232,0.009211,0.550444,0.797700,50,21881
8.920,8.000000,7.949374,7.975058,1.336274,0.024942,0.541232,0.009486,0.550718,0.797823,50,21931
8.940,8.000000,8.108362,7.995053,1.336373,0.004947,0.541232,0.008290,0.549522,0.797285,51,21982
8.960,8.000000,7.949374,7.988201,1.336609,0.011799,0.541232,0.008701,0.549934,0.797470,50,22032
8.980,8.000000,7.949374,7.982377,1.336961,0.017623,0.541232,0.009052,0.550284,0.797628,50,22082
9.000,8.000000,7.949374,7.977427,1.337413,0.022573,0.541232,0.009351,0.550583,0.797762,50,22132
9.020,8.000000,7.949374,7.973219,1.337948,0.026781,0.541232,0.009606,0.550838,0.797877,50,22182
9.040,8.000000,8.108362,7.993491,1.338078,0.006509,0.541232,0.008394,0.549626,0.797332,51,22233
9.060,8.000000,7.949374,7.986874,1.338341,0.013126,0.541232,0.008791,0.550023,0.797511,50,22283
9.080,8.000000,7.949374,7.981249,1.338716,0.018751,0.541232,0.009130,0.550362,0.797663,50,22333
9.100,8.000000,7.949374,7.976468,1.339187,0.023532,0.541232,0.009419,0.550651,0.797793,50,22383
9.120,8.000000,8.108362,7.996252,1.339262,0.003748,0.541232,0.008236,0.549468,0.797261,51,22434
9.140,8.000000,7.949374,7.989221,1.339477,0.010779,0.541232,0.008658,0.549890,0.797450,50,22484
9.160,8.000000,7.949374,7.983244,1.339812,0.016756,0.541232,0.009017,0.550249,0.797612,50,22534
9.180,8.000000,7.949374,7.978164,1.340249,0.021836,0.541232,0.009324,0.550556,0.797750,50,22584
9.200,8.000000,7.949374,7.973845,1.340772,0.026155,0.541232,0.009585,0.550817,0.797868,50,22634
9.220,8.000000,8.108362,7.994023,1.340892,0.005977,0.541232,0.008379,0.549611,0.797325,51,22685
9.240,8.000000,7.949374,7.987326,1.341145,0.012674,0.541232,0.008781,0.550013,0.797506,50,22735
9.260,8.000000,7.949374,7.981633,1.341512,0.018367,0.541232,0.009124,0.550356,0.797660,50,22785
9.280,8.000000,7.949374,7.976794,1.341976,0.023206,0.541232,0.009416,0.550648,0.797792,50,22835
9.300,8.000000,7.949374,7.972681,1.342523,0.027319,0.541232,0.009665,0.550897,0.797904,50,22885
9.320,8.000000,7.949374,7.969185,1.343139,0.030815,0.541232,0.009878,0.551110,0.798000,50,22935
9.340,8.000000,8.108362,7.990062,1.343338,0.009938,0.541232,0.008630,0.549863,0.797438,51,22986
9.360,8.000000,7.949374,7.983958,1.343659,0.016042,0.541232,0.008997,0.550230,0.797603,50,23036
9.380,8.000000,7.949374,7.978770,1.344083,0.021230,0.541232,0.009310,0.550543,0.797744,50,23086
9.400,8.000000,7.949374,7.974360,1.344596,0.025640,0.541232,0.009577,0.550809,0.797864,50,23136
9.420,8.000000,8.108362,7.994461,1.344707,0.005539,0.541232,0.008375,0.549608,0.797323,51,23187
9.440,8.000000,7.949374,7.987698,1.344953,0.012302,0.541232,0.008781,0.550014,0.797506,50,23237
9.460,8.000000,7.949374,7.981949,1.345314,0.018051,0.541232,0.009127,0.550360,0.797662,50,23287
9.480,8.000000,7.949374,7.977062,1.345773,0.022938,0.541232,0.009422,0.550655,0.797795,50,23337
9.500,8.000000,8.108362,7.996758,1.345837,0.003242,0.541232,0.008245,0.549477,0.797265,51,23388
9.520,8.000000,7.949374,7.989650,1.346044,0.010350,0.541232,0.008671,0.549904,0.797457,50,23438
9.540,8.000000,7.949374,7.983608,1.346372,0.016392,0.541232,0.009035,0.550267,0.797620,50,23488
9.560,8.000000,7.949374,7.978473,1.346803,0.021527,0.541232,0.009344,0.550577,0.797759,50,23538
9.580,8.000000,8.108362,7.997956,1.346844,0.002044,0.541232,0.008179,0.549411,0.797235,51,23589
9.600,8.000000,7.949374,7.990669,1.347030,0.009331,0.541232,0.008616,0.549848,0.797432,50,23639
9.620,8.000000,7.949374,7.984475,1.347341,0.015525,0.541232,0.008988,0.550221,0.797599,50,23689
9.640,8.000000,7.949374,7.979210,1.347757,0.020790,0.541232,0.009306,0.550538,0.797742,50,23739
9.660,8.000000,7.949374,7.974734,1.348262,0.025266,0.541232,0.009577,0.550809,0.797864,50,23789
9.680,8.000000,8.108362,7.994779,1.348366,0.005221,0.541232,0.008378,0.549611,0.797325,51,23840
9.700,8.000000,7.949374,7.987967,1.348607,0.012033,0.541232,0.008787,0.550019,0.797509,50,23890
9.720,8.000000,7.949374,7.982179,1.348963,0.017821,0.541232,0.009136,0.550368,0.797666,50,23940
9.740,8.000000,7.949374,7.977258,1.349418,0.022742,0.541232,0.009433,0.550665,0.797799,50,23990
9.760,8.000000,8.108362,7.996923,1.349480,0.003077,0.541232,0.008257,0.549489,0.797270,51,24041
9.780,8.000000,7.949374,7.989791,1.349684,0.010209,0.541232,0.008684,0.549917,0.797463,50,24091
9.800,8.000000,7.949374,7.983728,1.350009,0.016272,0.541232,0.009049,0.550281,0.797627,50,24141
9.820,8.000000,7.949374,7.978576,1.350438,0.021424,0.541232,0.009360,0.550592,0.797767,50,24191
9.840,8.000000,7.949374,7.974195,1.350954,0.025805,0.541232,0.009625,0.550857,0.797886,50,24241
9.860,8.000000,7.949374,7.970472,1.351544,0.029528,0.541232,0.009851,0.551084,0.797988,50,24291
9.880,8.000000,7.949374,7.967308,1.352198,0.032692,0.541232,0.010044,0.551277,0.798075,50,24341
9.900,8.000000,7.949374,7.964618,1.352906,0.035382,0.541232,0.010210,0.551442,0.798149,50,24391
9.920,8.000000,8.108362,7.986179,1.353182,0.013821,0.541232,0.008921,0.550154,0.797569,51,24442
9.940,8.000000,7.949374,7.980659,1.353569,0.019341,0.541232,0.009254,0.550486,0.797719,50,24492
9.960,8.000000,7.949374,7.975965,1.354050,0.024035,0.541232,0.009538,0.550770,0.797846,50,24542
9.980,8.000000,7.949374,7.971977,1.354610,0.028023,0.541232,0.009780,0.551012,0.797955,50,24592
10.000,8.000000,8.108362,7.992435,1.354762,0.007565,0.541232,0.008557,0.549789,0.797405,51,24643
