phi0_omega_k,phi1_u_k,phi2_bias,y_omega_k1
0.00000000,0.12999994,1.00000000,0.00000000
0.00000000,0.16999993,1.00000000,0.00000000
0.00000000,0.20999992,1.00000000,0.00000000
0.00000000,0.24999991,1.00000000,0.00000000
0.00000000,0.28999990,1.00000000,0.00000000
0.00000000,0.32999989,1.00000000,0.15898748
0.15898748,0.36999989,1.00000000,0.00000000
0.00000000,0.40999988,1.00000000,0.00000000
0.00000000,0.44999987,1.00000000,0.00000000
0.00000000,0.48999986,1.00000000,0.00000000
0.00000000,0.52999985,1.00000000,0.00000000
0.00000000,0.55000001,1.00000000,0.15898748
0.15898748,0.55000001,1.00000000,0.63594991
0.63594991,0.55000001,1.00000000,0.63594991
0.63594991,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.63594991
0.63594991,0.55000001,1.00000000,0.63594991
0.63594991,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.63594991
0.63594991,0.55000001,1.00000000,0.95392495
0.95392495,0.55000001,1.00000000,0.63594991
0.63594991,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.55000001,1.00000000,0.79493743
0.79493743,0.50999999,1.00000000,0.79493743
0.79493743,0.47000000,1.00000000,0.47696248
0.47696248,0.43000001,1.00000000,0.47696248
0.47696248,0.39000002,1.00000000,0.15898748
0.15898748,0.35000002,1.00000000,0.15898748
0.15898748,0.31000003,1.00000000,0.00000000
0.00000000,0.27000004,1.00000000,0.00000000
0.00000000,0.23000005,1.00000000,0.00000000
0.00000000,0.19000006,1.00000000,0.00000000
0.00000000,0.15000007,1.00000000,0.00000000
0.00000000,0.11000007,1.00000000,0.00000000
0.00000000,0.07000007,1.00000000,0.00000000
0.00000000,0.03000007,1.00000000,0.00000000
0.00000000,-0.00999993,1.00000000,0.00000000
0.00000000,-0.04999993,1.00000000,0.00000000
0.00000000,-0.08999993,1.00000000,0.00000000
0.00000000,-0.12999994,1.00000000,0.00000000
0.00000000,-0.16999993,1.00000000,0.00000000
0.00000000,-0.20999992,1.00000000,0.00000000
0.00000000,-0.24999991,1.00000000,0.00000000
0.00000000,-0.28999990,1.00000000,0.00000000
0.00000000,-0.32999989,1.00000000,-0.15898748
-0.15898748,-0.36999989,1.00000000,0.00000000
0.00000000,-0.40999988,1.00000000,0.00000000
0.00000000,-0.44999987,1.00000000,0.00000000
0.00000000,-0.48999986,1.00000000,0.00000000
0.00000000,-0.52999985,1.00000000,0.00000000
0.00000000,-0.56999987,1.00000000,-0.47696248
-0.47696248,-0.60999990,1.00000000,-1.11291242
-1.11291242,-0.64999992,1.00000000,-2.22582483
-2.22582483,-0.68999994,1.00000000,-3.17974973
-3.17974973,-0.72999996,1.00000000,-4.29266214
-4.29266214,-0.76999998,1.00000000,-5.24658728
-5.24658728,-0.81000000,1.00000000,-6.51848698
-6.51848698,-0.85000002,1.00000000,-7.47241163
-7.47241163,-0.85000002,1.00000000,-8.42633629
-8.42633629,-0.85000002,1.00000000,-8.74431133
-8.74431133,-0.85000002,1.00000000,-8.90329933
-8.90329933,-0.85000002,1.00000000,-9.06228733
-9.06228733,-0.85000002,1.00000000,-9.22127438
-9.22127438,-0.81000000,1.00000000,-8.90329933
-8.90329933,-0.76999998,1.00000000,-8.74431133
-8.74431133,-0.72999996,1.00000000,-8.26734924
-8.26734924,-0.68999994,1.00000000,-7.94937420
-7.94937420,-0.64999992,1.00000000,-7.47241163
-7.47241163,-0.60999990,1.00000000,-7.15443707
-7.15443707,-0.56999987,1.00000000,-6.67747450
-6.67747450,-0.52999985,1.00000000,-6.35949945
-6.35949945,-0.48999986,1.00000000,-6.04152441
-6.04152441,-0.44999987,1.00000000,-5.72354937
-5.72354937,-0.40999988,1.00000000,-5.24658728
-5.24658728,-0.36999989,1.00000000,-4.92861223
-4.92861223,-0.32999989,1.00000000,-4.45164967
-4.45164967,-0.28999990,1.00000000,-4.29266214
-4.29266214,-0.24999991,1.00000000,-3.81569982
-3.81569982,-0.20999992,1.00000000,-3.49772453
-3.49772453,-0.16999993,1.00000000,-3.02076221
-3.02076221,-0.12999994,1.00000000,-2.70278740
-2.70278740,-0.08999994,1.00000000,-2.38481236
-2.38481236,-0.04999994,1.00000000,-1.90784991
-1.90784991,-0.00999994,1.00000000,-1.74886227
-1.74886227,0.00000000,1.00000000,-1.27189982
-1.27189982,0.00000000,1.00000000,-0.95392495
-0.95392495,0.00000000,1.00000000,-0.63594991
-0.63594991,0.00000000,1.00000000,-0.31797495
-0.31797495,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.00000000,1.00000000,0.00000000
0.00000000,0.04000000,1.00000000,0.00000000
0.00000000,0.08000000,1.00000000,0.00000000
0.00000000,0.12000000,1.00000000,0.00000000
0.00000000,0.16000000,1.00000000,0.00000000
0.00000000,0.19999999,1.00000000,0.00000000
0.00000000,0.23999998,1.00000000,0.00000000
0.00000000,0.27999997,1.00000000,0.00000000
0.00000000,0.31999996,1.00000000,0.00000000
0.00000000,0.35999995,1.00000000,0.00000000
0.00000000,0.39999995,1.00000000,0.00000000
0.00000000,0.43999994,1.00000000,0.00000000
0.00000000,0.47999993,1.00000000,0.00000000
0.00000000,0.51999992,1.00000000,0.15898748
0.15898748,0.55999994,1.00000000,0.31797495
0.31797495,0.59999996,1.00000000,1.11291242
1.11291242,0.63999999,1.00000000,1.90784991
1.90784991,0.68000001,1.00000000,2.86177468
2.86177468,0.72000003,1.00000000,3.97468710
