phi0_omega_k,phi1_u_k,y_omega_k1
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,-0.04000000,0.00000000
0.00000000,-0.08000000,0.00000000
0.00000000,-0.12000000,0.00000000
0.00000000,-0.16000000,0.00000000
0.00000000,-0.19999999,0.00000000
0.00000000,-0.23999998,0.00000000
0.00000000,-0.27999997,0.00000000
0.00000000,-0.31999996,0.00000000
0.00000000,-0.35999995,0.00000000
0.00000000,-0.39999995,0.00000000
0.00000000,-0.43999994,0.00000000
0.00000000,-0.47999993,0.15898748
0.15898748,-0.51999992,0.15898748
0.15898748,-0.55000001,0.31797495
0.31797495,-0.55000001,0.47696248
0.47696248,-0.55000001,0.63594991
0.63594991,-0.55000001,0.79493743
0.79493743,-0.55000001,0.79493743
0.79493743,-0.55000001,0.79493743
0.79493743,-0.55000001,0.63594991
0.63594991,-0.55000001,0.79493743
0.79493743,-0.55000001,0.79493743
0.79493743,-0.55000001,0.95392495
0.95392495,-0.55000001,0.79493743
0.79493743,-0.55000001,0.79493743
0.79493743,-0.55000001,0.79493743
0.79493743,-0.55000001,0.79493743
0.79493743,-0.55000001,0.95392495
0.95392495,-0.55000001,0.63594991
0.63594991,-0.55000001,0.79493743
0.79493743,-0.55000001,0.95392495
0.95392495,-0.55000001,0.79493743
0.79493743,-0.55000001,0.79493743
0.79493743,-0.55000001,0.79493743
0.79493743,-0.55000001,0.95392495
0.95392495,-0.55000001,0.79493743
0.79493743,-0.55000001,0.79493743
0.79493743,-0.50999999,0.63594991
0.63594991,-0.47000000,0.63594991
0.63594991,-0.43000001,0.63594991
0.63594991,-0.39000002,0.15898748
0.15898748,-0.35000002,0.31797495
0.31797495,-0.31000003,0.31797495
0.31797495,-0.27000004,0.00000000
0.00000000,-0.23000005,0.00000000
0.00000000,-0.19000006,0.00000000
0.00000000,-0.15000007,0.00000000
0.00000000,-0.11000007,0.00000000
0.00000000,-0.07000007,0.00000000
0.00000000,-0.03000007,0.00000000
0.00000000,0.00999993,0.00000000
0.00000000,0.04999993,0.00000000
0.00000000,0.08999993,0.00000000
0.00000000,0.12999994,0.00000000
0.00000000,0.16999993,0.00000000
0.00000000,0.20999992,0.00000000
0.00000000,0.24999991,0.00000000
0.00000000,0.28999990,0.00000000
0.00000000,0.32999989,0.00000000
0.00000000,0.36999989,0.00000000
0.00000000,0.40999988,0.00000000
0.00000000,0.44999987,0.00000000
0.00000000,0.48999986,0.00000000
0.00000000,0.52999985,-0.15898748
-0.15898748,0.55000001,-0.31797495
-0.31797495,0.55000001,-0.47696248
-0.47696248,0.55000001,-0.63594991
-0.63594991,0.55000001,-0.63594991
-0.63594991,0.55000001,-0.79493743
-0.79493743,0.55000001,-0.79493743
-0.79493743,0.55000001,-0.95392495
-0.95392495,0.55000001,-0.79493743
-0.79493743,0.55000001,-0.79493743
-0.79493743,0.55000001,-0.95392495
-0.95392495,0.55000001,-0.79493743
-0.79493743,0.55000001,-0.79493743
-0.79493743,0.55000001,-0.79493743
-0.79493743,0.55000001,-0.95392495
-0.95392495,0.55000001,-0.79493743
-0.79493743,0.55000001,-0.95392495
-0.95392495,0.55000001,-0.79493743
-0.79493743,0.50999999,-0.79493743
-0.79493743,0.47000000,-0.79493743
-0.79493743,0.43000001,-0.63594991
-0.63594991,0.39000002,-0.31797495
-0.31797495,0.35000002,-0.31797495
-0.31797495,0.31000003,0.00000000
0.00000000,0.27000004,0.00000000
0.00000000,0.23000005,0.00000000
0.00000000,0.19000006,0.00000000
0.00000000,0.15000007,0.00000000
0.00000000,0.11000007,0.00000000
0.00000000,0.07000007,0.00000000
0.00000000,0.03000007,0.00000000
0.00000000,-0.00999993,0.00000000
0.00000000,-0.04999993,0.00000000
0.00000000,-0.08999993,0.00000000
0.00000000,-0.12999994,0.00000000
0.00000000,-0.16999993,0.00000000
0.00000000,-0.20999992,0.15898748
0.15898748,-0.24999991,0.00000000
0.00000000,-0.28999990,0.00000000
0.00000000,-0.32999989,0.00000000
0.00000000,-0.36999989,0.00000000
0.00000000,-0.40999988,0.00000000
0.00000000,-0.44999987,0.00000000
0.00000000,-0.48999986,0.00000000
0.00000000,-0.52999985,0.00000000
0.00000000,-0.56999987,0.47696248
0.47696248,-0.60999990,1.27189982
1.27189982,-0.64999992,2.22582483
2.22582483,-0.68999994,3.17974973
3.17974973,-0.72999996,4.29266214
4.29266214,-0.76999998,5.24658728
5.24658728,-0.81000000,6.35949945
6.35949945,-0.85000002,7.63139963
7.63139963,-0.85000002,8.26734924
8.26734924,-0.85000002,8.58532429
8.58532429,-0.85000002,8.90329933
8.90329933,-0.85000002,8.90329933
8.90329933,-0.85000002,9.06228733
9.06228733,-0.81000000,8.74431133
8.74431133,-0.76999998,8.58532429
8.58532429,-0.72999996,8.10836220
8.10836220,-0.68999994,7.63139963
7.63139963,-0.64999992,7.47241163
7.47241163,-0.60999990,6.83646202
6.83646202,-0.56999987,6.67747450
6.67747450,-0.52999985,6.20051193
6.20051193,-0.48999986,5.88253689
5.88253689,-0.44999987,5.56456184
5.56456184,-0.40999988,5.24658728
5.24658728,-0.36999989,4.76962471
4.76962471,-0.32999989,4.45164967
4.45164967,-0.28999990,4.13367462
4.13367462,-0.24999991,3.65671229
3.65671229,-0.20999992,3.33873725
3.33873725,-0.16999993,3.02076221
3.02076221,-0.12999994,2.70278740
2.70278740,-0.08999994,2.22582483
2.22582483,-0.04999994,1.90784991
1.90784991,-0.00999994,1.58987486
1.58987486,0.00000000,1.27189982
1.27189982,0.00000000,0.79493743
0.79493743,0.00000000,0.63594991
0.63594991,0.00000000,0.47696248
0.47696248,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000
0.00000000,0.04000000,0.00000000
0.00000000,0.08000000,0.00000000
0.00000000,0.12000000,0.00000000
0.00000000,0.16000000,0.00000000
0.00000000,0.19999999,0.00000000
0.00000000,0.23999998,0.00000000
0.00000000,0.27999997,0.00000000
0.00000000,0.31999996,0.00000000
0.00000000,0.35999995,-0.15898748
-0.15898748,0.39999995,0.00000000
0.00000000,0.43999994,0.00000000
0.00000000,0.47999993,0.00000000
0.00000000,0.51999992,0.00000000
0.00000000,0.55999994,-0.31797495
-0.31797495,0.59999996,-0.95392495
-0.95392495,0.63999999,-1.90784991
-1.90784991,0.68000001,-3.02076221
-3.02076221,0.72000003,-4.13367462
-4.13367462,0.76000005,-5.08759928
-5.08759928,0.80000007,-6.35949945
-6.35949945,0.84000009,-7.31342459
-7.31342459,0.85000002,-8.26734924
-8.26734924,0.85000002,-8.74431133
-8.74431133,0.85000002,-9.06228733
-9.06228733,0.85000002,-9.22127438
-9.22127438,0.85000002,-9.22127438
-9.22127438,0.85000002,-9.22127438
-9.22127438,0.85000002,-9.38026237
-9.38026237,0.85000002,-9.38026237
-9.38026237,0.85000002,-9.22127438
-9.22127438,0.85000002,-9.38026237
-9.38026237,0.85000002,-9.38026237
-9.38026237,0.85000002,-9.38026237
-9.38026237,0.81000000,-9.22127438
-9.22127438,0.76999998,-8.90329933
-8.90329933,0.72999996,-8.42633629
-8.42633629,0.68999994,-8.10836220
-8.10836220,0.64999992,-7.79038668
-7.79038668,0.60999990,-7.31342459
-7.31342459,0.56999987,-6.99544907
-6.99544907,0.52999985,-6.51848698
-6.51848698,0.48999986,-6.35949945
-6.35949945,0.44999987,-5.88253689
-5.88253689,0.40999988,-5.40557480
-5.40557480,0.36999989,-5.24658728
-5.24658728,0.32999989,-4.76962471
