t_s,omega_ref_rad_s,omega_meas_rad_s,omega_filt_rad_s,error_rad_s,u_eff,pwm_cmd,delta_cnt,position_cnt
6.500,8.000000,7.790387,7.793371,0.206629,-0.535654,0.791044,-49,-15374
6.520,8.000000,7.790387,7.792923,0.207077,-0.535657,0.791046,-49,-15423
6.540,8.000000,7.949374,7.816391,0.183609,-0.535515,0.790982,-50,-15473
6.560,8.000000,7.790387,7.812490,0.187510,-0.535539,0.790992,-49,-15522
6.580,8.000000,7.790387,7.809175,0.190825,-0.535559,0.791002,-49,-15571
6.600,8.000000,7.790387,7.806356,0.193644,-0.535576,0.791009,-49,-15620
6.620,8.000000,7.790387,7.803960,0.196040,-0.535590,0.791016,-49,-15669
6.640,8.000000,7.790387,7.801924,0.198076,-0.535603,0.791021,-49,-15718
6.660,8.000000,7.949374,7.824041,0.175959,-0.535469,0.790961,-50,-15768
6.680,8.000000,7.790387,7.818993,0.181007,-0.535500,0.790975,-49,-15817
6.700,8.000000,7.790387,7.814702,0.185298,-0.535526,0.790987,-49,-15866
6.720,8.000000,7.790387,7.811055,0.188945,-0.535548,0.790996,-49,-15915
6.740,8.000000,7.790387,7.807954,0.192046,-0.535566,0.791005,-49,-15964
6.760,8.000000,7.790387,7.805319,0.194681,-0.535582,0.791012,-49,-16013
6.780,8.000000,7.790387,7.803079,0.196921,-0.535596,0.791018,-49,-16062
6.800,8.000000,7.949374,7.825023,0.174977,-0.535463,0.790958,-50,-16112
6.820,8.000000,7.790387,7.819827,0.180173,-0.535495,0.790973,-49,-16161
6.840,8.000000,7.790387,7.815411,0.184589,-0.535521,0.790985,-49,-16210
6.860,8.000000,7.790387,7.811657,0.188343,-0.535544,0.790995,-49,-16259
6.880,8.000000,7.790387,7.808466,0.191534,-0.535563,0.791003,-49,-16308
6.900,8.000000,7.790387,7.805754,0.194246,-0.535580,0.791011,-49,-16357
6.920,8.000000,7.949374,7.827297,0.172703,-0.535450,0.790952,-50,-16407
6.940,8.000000,7.790387,7.821761,0.178239,-0.535483,0.790967,-49,-16456
6.960,8.000000,7.790387,7.817054,0.182946,-0.535511,0.790980,-49,-16505
6.980,8.000000,7.790387,7.813054,0.186946,-0.535536,0.790991,-49,-16554
7.000,8.000000,7.790387,7.809654,0.190346,-0.535556,0.791000,-49,-16603
7.020,8.000000,7.790387,7.806764,0.193236,-0.535573,0.791008,-49,-16652
7.040,8.000000,7.790387,7.804307,0.195693,-0.535588,0.791015,-49,-16701
7.060,8.000000,7.790387,7.802219,0.197781,-0.535601,0.791020,-49,-16750
7.080,8.000000,7.790387,7.800444,0.199556,-0.535612,0.791025,-49,-16799
7.100,8.000000,7.949374,7.822783,0.177217,-0.535477,0.790965,-50,-16849
7.120,8.000000,7.790387,7.817924,0.182076,-0.535506,0.790978,-49,-16898
7.140,8.000000,7.790387,7.813793,0.186207,-0.535531,0.790989,-49,-16947
7.160,8.000000,7.790387,7.810282,0.189718,-0.535552,0.790999,-49,-16996
7.180,8.000000,7.790387,7.807297,0.192703,-0.535570,0.791007,-49,-17045
7.200,8.000000,7.790387,7.804760,0.195240,-0.535586,0.791014,-49,-17094
7.220,8.000000,7.790387,7.802604,0.197396,-0.535599,0.791019,-49,-17143
7.240,8.000000,7.790387,7.800771,0.199229,-0.535610,0.791024,-49,-17192
7.260,8.000000,7.790387,7.799213,0.200787,-0.535619,0.791029,-49,-17241
7.280,8.000000,7.790387,7.797889,0.202111,-0.535627,0.791032,-49,-17290
7.300,8.000000,7.790387,7.796764,0.203236,-0.535634,0.791035,-49,-17339
7.320,8.000000,7.790387,7.795807,0.204193,-0.535640,0.791038,-49,-17388
7.340,8.000000,7.790387,7.794994,0.205006,-0.535645,0.791040,-49,-17437
7.360,8.000000,7.949374,7.818151,0.181849,-0.535505,0.790977,-50,-17487
7.380,8.000000,7.790387,7.813986,0.186014,-0.535530,0.790988,-49,-17536
7.400,8.000000,7.790387,7.810446,0.189554,-0.535551,0.790998,-49,-17585
7.420,8.000000,7.790387,7.807437,0.192563,-0.535569,0.791006,-49,-17634
7.440,8.000000,7.790387,7.804879,0.195121,-0.535585,0.791013,-49,-17683
7.460,8.000000,7.949374,7.826553,0.173447,-0.535454,0.790954,-50,-17733
7.480,8.000000,7.790387,7.821128,0.178872,-0.535487,0.790969,-49,-17782
7.500,8.000000,7.790387,7.816517,0.183483,-0.535515,0.790982,-49,-17831
7.520,8.000000,7.790387,7.812597,0.187403,-0.535538,0.790992,-49,-17880
7.540,8.000000,7.790387,7.809266,0.190734,-0.535558,0.791001,-49,-17929
7.560,8.000000,7.790387,7.806434,0.193566,-0.535575,0.791009,-49,-17978
7.580,8.000000,7.949374,7.827875,0.172125,-0.535446,0.790951,-50,-18028
7.600,8.000000,7.790387,7.822252,0.177748,-0.535480,0.790966,-49,-18077
7.620,8.000000,7.790387,7.817472,0.182528,-0.535509,0.790979,-49,-18126
7.640,8.000000,7.790387,7.813409,0.186591,-0.535533,0.790990,-49,-18175
7.660,8.000000,7.790387,7.809955,0.190045,-0.535554,0.790999,-49,-18224
7.680,8.000000,7.790387,7.807020,0.192980,-0.535572,0.791007,-49,-18273
7.700,8.000000,7.790387,7.804524,0.195476,-0.535587,0.791014,-49,-18322
7.720,8.000000,7.949374,7.826252,0.173748,-0.535456,0.790955,-50,-18372
7.740,8.000000,7.790387,7.820872,0.179128,-0.535488,0.790970,-49,-18421
7.760,8.000000,7.790387,7.816299,0.183701,-0.535516,0.790982,-49,-18470
7.780,8.000000,7.790387,7.812412,0.187588,-0.535539,0.790993,-49,-18519
7.800,8.000000,7.790387,7.809108,0.190892,-0.535559,0.791002,-49,-18568
7.820,8.000000,7.790387,7.806299,0.193701,-0.535576,0.791009,-49,-18617
7.840,8.000000,7.949374,7.827761,0.172239,-0.535447,0.790951,-50,-18667
7.860,8.000000,7.790387,7.822155,0.177845,-0.535481,0.790966,-49,-18716
7.880,8.000000,7.790387,7.817389,0.182611,-0.535509,0.790979,-49,-18765
7.900,8.000000,7.790387,7.813338,0.186662,-0.535534,0.790990,-49,-18814
7.920,8.000000,7.790387,7.809896,0.190104,-0.535555,0.791000,-49,-18863
7.940,8.000000,7.790387,7.806969,0.193031,-0.535572,0.791008,-49,-18912
7.960,8.000000,7.949374,7.828330,0.171670,-0.535443,0.790949,-50,-18962
7.980,8.000000,7.790387,7.822639,0.177361,-0.535478,0.790965,-49,-19011
8.000,8.000000,7.790387,7.817801,0.182199,-0.535507,0.790978,-49,-19060
8.020,8.000000,7.790387,7.813688,0.186312,-0.535532,0.790989,-49,-19109
8.040,8.000000,7.790387,7.810193,0.189807,-0.535553,0.790999,-49,-19158
8.060,8.000000,7.790387,7.807222,0.192778,-0.535571,0.791007,-49,-19207
8.080,8.000000,7.790387,7.804697,0.195303,-0.535586,0.791014,-49,-19256
8.100,8.000000,7.949374,7.826398,0.173602,-0.535455,0.790955,-50,-19306
8.120,8.000000,7.790387,7.820996,0.179004,-0.535488,0.790969,-49,-19355
8.140,8.000000,7.790387,7.816404,0.183596,-0.535515,0.790982,-49,-19404
8.160,8.000000,7.790387,7.812501,0.187499,-0.535539,0.790992,-49,-19453
8.180,8.000000,7.790387,7.809184,0.190816,-0.535559,0.791001,-49,-19502
8.200,8.000000,7.790387,7.806364,0.193636,-0.535576,0.791009,-49,-19551
8.220,8.000000,7.949374,7.827816,0.172184,-0.535446,0.790951,-50,-19601
8.240,8.000000,7.790387,7.822201,0.177799,-0.535480,0.790966,-49,-19650
8.260,8.000000,7.790387,7.817429,0.182571,-0.535509,0.790979,-49,-19699
8.280,8.000000,7.790387,7.813373,0.186627,-0.535534,0.790990,-49,-19748
8.300,8.000000,7.790387,7.809925,0.190075,-0.535554,0.790999,-49,-19797
8.320,8.000000,7.790387,7.806994,0.193006,-0.535572,0.791007,-49,-19846
8.340,8.000000,7.790387,7.804502,0.195498,-0.535587,0.791014,-49,-19895
8.360,8.000000,7.949374,7.826233,0.173767,-0.535456,0.790955,-50,-19945
8.380,8.000000,7.790387,7.820856,0.179144,-0.535488,0.790970,-49,-19994
8.400,8.000000,7.790387,7.816285,0.183715,-0.535516,0.790982,-49,-20043
8.420,8.000000,7.790387,7.812400,0.187600,-0.535539,0.790993,-49,-20092
8.440,8.000000,7.949374,7.832947,0.167053,-0.535415,0.790937,-50,-20142
8.460,8.000000,7.790387,7.826562,0.173438,-0.535454,0.790954,-49,-20191
8.480,8.000000,7.790387,7.821136,0.178864,-0.535487,0.790969,-49,-20240
8.500,8.000000,7.790387,7.816524,0.183476,-0.535515,0.790982,-49,-20289
8.520,8.000000,7.790387,7.812603,0.187397,-0.535538,0.790992,-49,-20338
8.540,8.000000,7.790387,7.809270,0.190730,-0.535558,0.791001,-49,-20387
8.560,8.000000,7.949374,7.830286,0.169714,-0.535432,0.790944,-50,-20437
8.580,8.000000,7.790387,7.824301,0.175699,-0.535468,0.790960,-49,-20486
8.600,8.000000,7.790387,7.819213,0.180787,-0.535498,0.790974,-49,-20535
8.620,8.000000,7.790387,7.814889,0.185111,-0.535524,0.790986,-49,-20584
8.640,8.000000,7.790387,7.811214,0.188786,-0.535547,0.790996,-49,-20633
8.660,8.000000,7.949374,7.831938,0.168062,-0.535421,0.790940,-50,-20683
8.680,8.000000,7.790387,7.825705,0.174295,-0.535459,0.790957,-49,-20732
8.700,8.000000,7.790387,7.820407,0.179593,-0.535491,0.790971,-49,-20781
8.720,8.000000,7.790387,7.815904,0.184096,-0.535518,0.790983,-49,-20830
8.740,8.000000,7.790387,7.812076,0.187924,-0.535541,0.790994,-49,-20879
8.760,8.000000,7.949374,7.832671,0.167329,-0.535417,0.790938,-50,-20929
8.780,8.000000,7.790387,7.826328,0.173672,-0.535455,0.790955,-49,-20978
8.800,8.000000,7.790387,7.820937,0.179063,-0.535488,0.790970,-49,-21027
8.820,8.000000,7.949374,7.840202,0.159798,-0.535372,0.790917,-50,-21077
8.840,8.000000,7.790387,7.832730,0.167270,-0.535417,0.790938,-49,-21126
8.860,8.000000,7.790387,7.826378,0.173622,-0.535455,0.790955,-49,-21175
8.880,8.000000,7.790387,7.820980,0.179020,-0.535488,0.790969,-49,-21224
8.900,8.000000,7.949374,7.840239,0.159761,-0.535371,0.790917,-50,-21274
8.920,8.000000,7.790387,7.832761,0.167239,-0.535417,0.790937,-49,-21323
8.940,8.000000,7.790387,7.826405,0.173595,-0.535455,0.790955,-49,-21372
8.960,8.000000,7.949374,7.844850,0.155150,-0.535344,0.790905,-50,-21422
8.980,8.000000,7.790387,7.836680,0.163320,-0.535393,0.790927,-49,-21471
9.000,8.000000,7.790387,7.829736,0.170264,-0.535435,0.790946,-49,-21520
9.020,8.000000,7.790387,7.823833,0.176167,-0.535470,0.790962,-49,-21569
9.040,8.000000,7.949374,7.842664,0.157336,-0.535357,0.790911,-50,-21619
9.060,8.000000,7.790387,7.834822,0.165178,-0.535404,0.790932,-49,-21668
9.080,8.000000,7.790387,7.828156,0.171844,-0.535444,0.790950,-49,-21717
9.100,8.000000,7.790387,7.822491,0.177509,-0.535479,0.790965,-49,-21766
9.120,8.000000,7.949374,7.841523,0.158477,-0.535364,0.790914,-50,-21816
9.140,8.000000,7.790387,7.833852,0.166148,-0.535410,0.790934,-49,-21865
9.160,8.000000,7.790387,7.827332,0.172668,-0.535449,0.790952,-49,-21914
9.180,8.000000,7.790387,7.821790,0.178210,-0.535483,0.790967,-49,-21963
9.200,8.000000,7.949374,7.840928,0.159072,-0.535367,0.790915,-50,-22013
9.220,8.000000,7.790387,7.833347,0.166653,-0.535413,0.790936,-49,-22062
9.240,8.000000,7.790387,7.826903,0.173097,-0.535452,0.790953,-49,-22111
9.260,8.000000,7.949374,7.845274,0.154726,-0.535341,0.790903,-50,-22161
9.280,8.000000,7.790387,7.837041,0.162959,-0.535391,0.790926,-49,-22210
9.300,8.000000,7.790387,7.830042,0.169958,-0.535433,0.790945,-49,-22259
9.320,8.000000,7.949374,7.847942,0.152058,-0.535325,0.790896,-50,-22309
9.340,8.000000,7.790387,7.839309,0.160691,-0.535377,0.790920,-49,-22358
9.360,8.000000,7.790387,7.831970,0.168030,-0.535421,0.790940,-49,-22407
9.380,8.000000,7.949374,7.849581,0.150419,-0.535315,0.790892,-50,-22457
9.400,8.000000,7.790387,7.840702,0.159298,-0.535369,0.790916,-49,-22506
9.420,8.000000,7.790387,7.833154,0.166846,-0.535414,0.790936,-49,-22555
9.440,8.000000,7.949374,7.850587,0.149413,-0.535309,0.790889,-50,-22605
9.460,8.000000,7.790387,7.841557,0.158443,-0.535363,0.790914,-49,-22654
9.480,8.000000,7.790387,7.833881,0.166119,-0.535410,0.790934,-49,-22703
9.500,8.000000,7.949374,7.851205,0.148795,-0.535305,0.790887,-50,-22753
9.520,8.000000,7.790387,7.842082,0.157918,-0.535360,0.790912,-49,-22802
9.540,8.000000,7.790387,7.834328,0.165672,-0.535407,0.790933,-49,-22851
9.560,8.000000,7.790387,7.827736,0.172264,-0.535447,0.790951,-49,-22900
9.580,8.000000,7.949374,7.845982,0.154018,-0.535337,0.790902,-50,-22950
9.600,8.000000,7.790387,7.837642,0.162358,-0.535387,0.790924,-49,-22999
9.620,8.000000,7.790387,7.830554,0.169446,-0.535430,0.790943,-49,-23048
9.640,8.000000,7.790387,7.824528,0.175472,-0.535466,0.790960,-49,-23097
9.660,8.000000,7.949374,7.843255,0.156745,-0.535353,0.790909,-50,-23147
9.680,8.000000,7.790387,7.835325,0.164675,-0.535401,0.790931,-49,-23196
9.700,8.000000,7.790387,7.828584,0.171416,-0.535442,0.790949,-49,-23245
9.720,8.000000,7.790387,7.822854,0.177146,-0.535476,0.790964,-49,-23294
9.740,8.000000,7.949374,7.841832,0.158168,-0.535362,0.790913,-50,-23344
9.760,8.000000,7.790387,7.834115,0.165885,-0.535408,0.790934,-49,-23393
9.780,8.000000,7.790387,7.827556,0.172444,-0.535448,0.790952,-49,-23442
9.800,8.000000,7.949374,7.845828,0.154172,-0.535338,0.790902,-50,-23492
9.820,8.000000,7.790387,7.837512,0.162488,-0.535388,0.790925,-49,-23541
9.840,8.000000,7.790387,7.830442,0.169558,-0.535431,0.790944,-49,-23590
9.860,8.000000,7.790387,7.824434,0.175566,-0.535467,0.790960,-49,-23639
9.880,8.000000,7.949374,7.843175,0.156825,-0.535354,0.790909,-50,-23689
9.900,8.000000,7.790387,7.835257,0.164743,-0.535401,0.790931,-49,-23738
9.920,8.000000,7.790387,7.828526,0.171474,-0.535442,0.790949,-49,-23787
9.940,8.000000,7.790387,7.822805,0.177195,-0.535477,0.790964,-49,-23836
9.960,8.000000,7.949374,7.841790,0.158210,-0.535362,0.790913,-50,-23886
9.980,8.000000,7.790387,7.834079,0.165921,-0.535409,0.790934,-49,-23935
10.000,8.000000,7.790387,7.827525,0.172475,-0.535448,0.790952,-49,-23984
