k,t_k1_s,pwm_k,u_eff_k,omega_k_rad_s,omega_k1_rad_s
92,1.860000,0.700000,0.333333,-5.24658728,-5.24658728
93,1.880000,0.700000,0.333333,-5.24658728,-5.24658728
94,1.900000,0.700000,0.333333,-5.24658728,-5.24658728
95,1.920000,0.700000,0.333333,-5.24658728,-5.24658728
96,1.940000,0.700000,0.333333,-5.24658728,-5.24658728
97,1.960000,0.700000,0.333333,-5.24658728,-5.40557480
98,1.980000,0.700000,0.333333,-5.40557480,-5.24658728
99,2.000000,0.700000,0.333333,-5.24658728,-5.24658728
100,2.020000,0.700000,0.333333,-5.24658728,-5.24658728
101,2.040000,0.700000,0.333333,-5.24658728,-5.24658728
102,2.060000,0.700000,0.333333,-5.24658728,-5.24658728
103,2.080000,0.700000,0.333333,-5.24658728,-5.24658728
104,2.100000,0.700000,0.333333,-5.24658728,-5.24658728
105,2.120000,0.700000,0.333333,-5.24658728,-5.24658728
106,2.140000,0.700000,0.333333,-5.24658728,-5.24658728
107,2.160000,0.700000,0.333333,-5.24658728,-5.24658728
108,2.180000,0.700000,0.333333,-5.24658728,-5.40557480
109,2.200000,0.700000,0.333333,-5.40557480,-5.24658728
110,2.220000,0.700000,0.333333,-5.24658728,-5.24658728
111,2.240000,0.700000,0.333333,-5.24658728,-5.24658728
112,2.260000,0.700000,0.333333,-5.24658728,-5.24658728
113,2.280000,0.700000,0.333333,-5.24658728,-5.24658728
114,2.300000,0.700000,0.333333,-5.24658728,-5.24658728
115,2.320000,0.700000,0.333333,-5.24658728,-5.24658728
116,2.340000,0.700000,0.333333,-5.24658728,-5.24658728
117,2.360000,0.700000,0.333333,-5.24658728,-5.24658728
118,2.380000,0.700000,0.333333,-5.24658728,-5.24658728
119,2.400000,0.700000,0.333333,-5.24658728,-5.24658728
120,2.420000,0.700000,0.333333,-5.24658728,-5.24658728
121,2.440000,0.700000,0.333333,-5.24658728,-5.40557480
122,2.460000,0.700000,0.333333,-5.40557480,-5.24658728
123,2.480000,0.700000,0.333333,-5.24658728,-5.24658728
124,2.500000,0.700000,0.333333,-5.24658728,-5.24658728
125,2.520000,0.700000,0.333333,-5.24658728,-5.24658728
126,2.540000,0.700000,0.333333,-5.24658728,-5.24658728
127,2.560000,0.700000,0.333333,-5.24658728,-5.24658728
128,2.580000,0.700000,0.333333,-5.24658728,-5.24658728
129,2.600000,0.700000,0.333333,-5.24658728,-5.24658728
130,2.620000,0.700000,0.333333,-5.24658728,-5.24658728
131,2.640000,0.700000,0.333333,-5.24658728,-5.24658728
132,2.660000,0.700000,0.333333,-5.24658728,-5.24658728
133,2.680000,0.700000,0.333333,-5.24658728,-5.24658728
134,2.700000,0.700000,0.333333,-5.24658728,-5.40557480
135,2.720000,0.700000,0.333333,-5.40557480,-5.24658728
136,2.740000,0.700000,0.333333,-5.24658728,-5.24658728
137,2.760000,0.700000,0.333333,-5.24658728,-5.24658728
138,2.780000,0.700000,0.333333,-5.24658728,-5.24658728
139,2.800000,0.700000,0.333333,-5.24658728,-5.24658728
140,2.820000,0.700000,0.333333,-5.24658728,-5.24658728
141,2.840000,0.700000,0.333333,-5.24658728,-5.24658728
142,2.860000,0.700000,0.333333,-5.24658728,-5.24658728
143,2.880000,0.700000,0.333333,-5.24658728,-5.24658728
144,2.900000,0.700000,0.333333,-5.24658728,-5.24658728
145,2.920000,0.700000,0.333333,-5.24658728,-5.40557480
146,2.940000,0.700000,0.333333,-5.40557480,-5.24658728
147,2.960000,0.700000,0.333333,-5.24658728,-5.24658728
148,2.980000,0.700000,0.333333,-5.24658728,-5.24658728
149,3.000000,0.700000,0.333333,-5.24658728,-5.24658728
150,3.020000,0.700000,0.333333,-5.24658728,-5.24658728
151,3.040000,0.700000,0.333333,-5.24658728,-5.24658728
152,3.060000,0.700000,0.333333,-5.24658728,-5.24658728
153,3.080000,0.700000,0.333333,-5.24658728,-5.24658728
154,3.100000,0.700000,0.333333,-5.24658728,-5.24658728
155,3.120000,0.700000,0.333333,-5.24658728,-5.24658728
156,3.140000,0.700000,0.333333,-5.24658728,-5.24658728
157,3.160000,0.700000,0.333333,-5.24658728,-5.24658728
158,3.180000,0.700000,0.333333,-5.24658728,-5.40557480
159,3.200000,0.700000,0.333333,-5.40557480,-5.24658728
160,3.220000,0.700000,0.333333,-5.24658728,-5.24658728
161,3.240000,0.700000,0.333333,-5.24658728,-5.24658728
162,3.260000,0.700000,0.333333,-5.24658728,-5.24658728
163,3.280000,0.700000,0.333333,-5.24658728,-5.24658728
164,3.300000,0.700000,0.333333,-5.24658728,-5.24658728
165,3.320000,0.700000,0.333333,-5.24658728,-5.24658728
166,3.340000,0.700000,0.333333,-5.24658728,-5.24658728
167,3.360000,0.700000,0.333333,-5.24658728,-5.24658728
168,3.380000,0.700000,0.333333,-5.24658728,-5.24658728
169,3.400000,0.700000,0.333333,-5.24658728,-5.40557480
170,3.420000,0.700000,0.333333,-5.40557480,-5.24658728
171,3.440000,0.700000,0.333333,-5.24658728,-5.24658728
172,3.460000,0.700000,0.333333,-5.24658728,-5.24658728
173,3.480000,0.700000,0.333333,-5.24658728,-5.24658728
174,3.500000,0.700000,0.333333,-5.24658728,-5.24658728
175,3.520000,0.700000,0.333333,-5.24658728,-5.24658728
176,3.540000,0.700000,0.333333,-5.24658728,-5.24658728
177,3.560000,0.700000,0.333333,-5.24658728,-5.24658728
178,3.580000,0.700000,0.333333,-5.24658728,-5.24658728
179,3.600000,0.700000,0.333333,-5.24658728,-5.24658728
180,3.620000,0.700000,0.333333,-5.24658728,-5.24658728
181,3.640000,0.700000,0.333333,-5.24658728,-5.24658728
182,3.660000,0.700000,0.333333,-5.24658728,-5.40557480
183,3.680000,0.700000,0.333333,-5.40557480,-5.24658728
184,3.700000,0.700000,0.333333,-5.24658728,-5.24658728
185,3.720000,0.700000,0.333333,-5.24658728,-5.24658728
186,3.740000,0.700000,0.333333,-5.24658728,-5.24658728
187,3.760000,0.700000,0.333333,-5.24658728,-5.24658728
188,3.780000,0.700000,0.333333,-5.24658728,-5.24658728
189,3.800000,0.700000,0.333333,-5.24658728,-5.24658728
190,3.820000,0.700000,0.333333,-5.24658728,-5.24658728
191,3.840000,0.700000,0.333333,-5.24658728,-5.24658728
192,3.860000,0.700000,0.333333,-5.24658728,-5.24658728
193,3.880000,0.700000,0.333333,-5.24658728,-5.40557480
194,3.900000,0.700000,0.333333,-5.40557480,-5.24658728
195,3.920000,0.700000,0.333333,-5.24658728,-5.24658728
196,3.940000,0.700000,0.333333,-5.24658728,-5.24658728
197,3.960000,0.700000,0.333333,-5.24658728,-5.24658728
198,3.980000,0.700000,0.333333,-5.24658728,-5.24658728
199,4.000000,0.700000,0.333333,-5.24658728,-5.24658728
200,4.020000,0.700000,0.333333,-5.24658728,-5.24658728
201,4.040000,0.700000,0.333333,-5.24658728,-5.24658728
202,4.060000,0.700000,0.333333,-5.24658728,-5.24658728
203,4.080000,0.700000,0.333333,-5.24658728,-5.24658728
204,4.100000,0.700000,0.333333,-5.24658728,-5.24658728
205,4.120000,0.700000,0.333333,-5.24658728,-5.24658728
206,4.140000,0.700000,0.333333,-5.24658728,-5.40557480
207,4.160000,0.700000,0.333333,-5.40557480,-5.24658728
208,4.180000,0.700000,0.333333,-5.24658728,-5.24658728
209,4.200000,0.700000,0.333333,-5.24658728,-5.24658728
210,4.220000,0.700000,0.333333,-5.24658728,-5.24658728
211,4.240000,0.700000,0.333333,-5.24658728,-5.24658728
212,4.260000,0.700000,0.333333,-5.24658728,-5.24658728
213,4.280000,0.700000,0.333333,-5.24658728,-5.24658728
214,4.300000,0.700000,0.333333,-5.24658728,-5.24658728
215,4.320000,0.700000,0.333333,-5.24658728,-5.24658728
216,4.340000,0.700000,0.333333,-5.24658728,-5.24658728
217,4.360000,0.700000,0.333333,-5.24658728,-5.24658728
218,4.380000,0.700000,0.333333,-5.24658728,-5.40557480
219,4.400000,0.700000,0.333333,-5.40557480,-5.24658728
220,4.420000,0.700000,0.333333,-5.24658728,-5.24658728
221,4.440000,0.700000,0.333333,-5.24658728,-5.24658728
222,4.460000,0.700000,0.333333,-5.24658728,-5.24658728
223,4.480000,0.700000,0.333333,-5.24658728,-5.24658728
224,4.500000,0.700000,0.333333,-5.24658728,-5.24658728
225,4.520000,0.700000,0.333333,-5.24658728,-5.24658728
226,4.540000,0.700000,0.333333,-5.24658728,-5.24658728
227,4.560000,0.700000,0.333333,-5.24658728,-5.24658728
228,4.580000,0.700000,0.333333,-5.24658728,-5.24658728
229,4.600000,0.700000,0.333333,-5.24658728,-5.24658728
230,4.620000,0.700000,0.333333,-5.24658728,-5.40557480
231,4.640000,0.700000,0.333333,-5.40557480,-5.24658728
232,4.660000,0.700000,0.333333,-5.24658728,-5.24658728
233,4.680000,0.700000,0.333333,-5.24658728,-5.24658728
234,4.700000,0.700000,0.333333,-5.24658728,-5.24658728
235,4.720000,0.700000,0.333333,-5.24658728,-5.24658728
236,4.740000,0.700000,0.333333,-5.24658728,-5.24658728
237,4.760000,0.700000,0.333333,-5.24658728,-5.24658728
238,4.780000,0.700000,0.333333,-5.24658728,-5.24658728
239,4.800000,0.700000,0.333333,-5.24658728,-5.24658728
240,4.820000,0.700000,0.333333,-5.24658728,-5.24658728
241,4.840000,0.700000,0.333333,-5.24658728,-5.24658728
242,4.860000,0.700000,0.333333,-5.24658728,-5.40557480
243,4.880000,0.700000,0.333333,-5.40557480,-5.24658728
244,4.900000,0.700000,0.333333,-5.24658728,-5.24658728
245,4.920000,0.700000,0.333333,-5.24658728,-5.24658728
246,4.940000,0.700000,0.333333,-5.24658728,-5.24658728
247,4.960000,0.700000,0.333333,-5.24658728,-5.24658728
248,4.980000,0.700000,0.333333,-5.24658728,-5.24658728
249,5.000000,0.700000,0.333333,-5.24658728,-5.24658728
250,5.020000,0.700000,0.333333,-5.24658728,-5.24658728
251,5.040000,0.700000,0.333333,-5.24658728,-5.24658728
252,5.060000,0.700000,0.333333,-5.24658728,-5.24658728
253,5.080000,0.700000,0.333333,-5.24658728,-5.24658728
254,5.100000,0.700000,0.333333,-5.24658728,-5.24658728
255,5.120000,0.700000,0.333333,-5.24658728,-5.24658728
256,5.140000,0.700000,0.333333,-5.24658728,-5.24658728
257,5.160000,0.700000,0.333333,-5.24658728,-5.24658728
